2022-07-26,0.209000,0.211000,0.203500,0.203500,0.203500,117101217
2022-07-27,0.205500,0.208500,0.201500,0.205200,0.205200,80413654
2022-07-28,0.207000,0.209900,0.202500,0.208700,0.208700,82515632
2022-07-29,0.209400,0.216200,0.209100,0.216200,0.216200,110201563
2022-08-01,0.215900,0.221100,0.213000,0.213400,0.213400,88234607
2022-08-02,0.213000,0.216700,0.211000,0.214400,0.214400,68150008
2022-08-03,0.217000,0.229500,0.215200,0.222700,0.222700,160110073
2022-08-04,0.223900,0.225200,0.213800,0.216000,0.216000,156031527
2022-08-05,0.217600,0.222800,0.215700,0.220000,0.220000,90263907
2022-08-08,0.220000,0.222300,0.218500,0.221400,0.221400,57369741
2022-08-09,0.221300,0.226500,0.219400,0.221500,0.221500,72050248
2022-08-10,0.220800,0.224500,0.218800,0.219500,0.219500,55199496
2022-08-11,0.221600,0.227400,0.220600,0.226800,0.226800,78951450
2022-08-12,0.227000,0.247400,0.226900,0.240500,0.240500,200457877
2022-08-16,0.243100,0.244900,0.231600,0.231800,0.231800,112889235
2022-08-17,0.232800,0.232800,0.223900,0.225700,0.225700,70484012
2022-08-18,0.225000,0.226300,0.221400,0.224000,0.224000,70884639
2022-08-19,0.222800,0.223200,0.215800,0.216300,0.216300,89030838
2022-08-22,0.215700,0.215700,0.205300,0.207100,0.207100,132904302
2022-08-23,0.208500,0.214200,0.206500,0.208400,0.208400,102983500
2022-08-24,0.208300,0.210700,0.203500,0.210200,0.210200,104824206
2022-08-25,0.211800,0.212400,0.206300,0.207000,0.207000,117392537
2022-08-26,0.208000,0.212400,0.206400,0.207500,0.207500,94667840
2022-08-29,0.207600,0.213300,0.202500,0.212000,0.212000,85817331
2022-08-30,0.213000,0.218200,0.211000,0.212600,0.212600,115968667
2022-08-31,0.214700,0.215200,0.206000,0.206000,0.206000,119080008
2022-09-01,0.205300,0.212700,0.204500,0.207200,0.207200,100491975
2022-09-02,0.208000,0.210900,0.203800,0.209200,0.209200,106980596
2022-09-05,0.206300,0.207000,0.200400,0.202200,0.202200,113198767
2022-09-06,0.201000,0.205700,0.200700,0.203000,0.203000,64937749
2022-09-07,0.203000,0.203000,0.196500,0.202000,0.202000,212310718
2022-09-08,0.202200,0.203400,0.190000,0.191600,0.191600,262051785
2022-09-09,0.192700,0.200900,0.192400,0.197000,0.197000,209865174
2022-09-12,0.198000,0.205900,0.197900,0.204700,0.204700,151478083
2022-09-13,0.206000,0.213500,0.203000,0.204800,0.204800,190328362
2022-09-14,0.203500,0.208500,0.201700,0.204700,0.204700,114252035
2022-09-15,0.202100,0.202900,0.198400,0.199100,0.199100,112225318
2022-09-16,0.193000,0.193800,0.182600,0.182900,0.182900,488644889
2022-09-19,0.182000,0.188600,0.176300,0.187700,0.187700,218441397
2022-09-20,0.188500,0.190900,0.180400,0.180400,0.180400,212379337
2022-09-21,0.180000,0.191000,0.178500,0.190700,0.190700,146000374
2022-09-22,0.188000,0.193900,0.186500,0.188300,0.188300,120565943
2022-09-23,0.188000,0.193100,0.179100,0.180000,0.180000,170508896
2022-09-26,0.180000,0.193400,0.179300,0.184700,0.184700,186211002
2022-09-27,0.187000,0.194800,0.183200,0.191000,0.191000,170291630
2022-09-28,0.189200,0.191800,0.184700,0.189700,0.189700,133672905
2022-09-29,0.189100,0.190000,0.182100,0.182600,0.182600,104849604
2022-09-30,0.184200,0.191700,0.184100,0.190300,0.190300,133614531
2022-10-03,0.188800,0.196400,0.186000,0.196000,0.196000,120975829
2022-10-04,0.199500,0.204000,0.197500,0.203200,0.203200,125584884
2022-10-05,0.201200,0.202400,0.193600,0.195000,0.195000,94523782
2022-10-06,0.199200,0.199900,0.187900,0.188400,0.188400,120269648
2022-10-07,0.187100,0.193000,0.184700,0.187100,0.187100,100913900
2022-10-10,0.185000,0.185200,0.180500,0.181500,0.181500,147091138
2022-10-11,0.180100,0.181000,0.174300,0.176100,0.176100,183784145
2022-10-12,0.177700,0.179600,0.171300,0.171300,0.171300,127676755
2022-10-13,0.170400,0.176900,0.162700,0.172000,0.172000,164420564
2022-10-14,0.175100,0.176100,0.171100,0.173000,0.173000,128205611
2022-10-17,0.171200,0.178800,0.169500,0.177700,0.177700,109533337
2022-10-18,0.183200,0.194700,0.181500,0.189000,0.189000,246772950
2022-10-19,0.192800,0.192800,0.185500,0.188800,0.188800,115861954
2022-10-20,0.188500,0.192400,0.185900,0.189900,0.189900,116944506
2022-10-21,0.187700,0.192400,0.187500,0.190300,0.190300,113927350
2022-10-24,0.194300,0.198400,0.193700,0.195500,0.195500,140228206
2022-10-25,0.197500,0.198200,0.192000,0.196900,0.196900,141560441
2022-10-26,0.197200,0.202600,0.195700,0.196300,0.196300,125313657
2022-10-27,0.194200,0.201700,0.193300,0.199400,0.199400,138752601
2022-10-28,0.197600,0.198000,0.195400,0.196500,0.196500,79919279
2022-10-31,0.196700,0.199600,0.196200,0.198100,0.198100,87060225
2022-11-01,0.199700,0.210400,0.199500,0.208300,0.208300,184071383
2022-11-02,0.214700,0.217000,0.209100,0.211500,0.211500,229591608
2022-11-03,0.216900,0.222600,0.211300,0.218300,0.218300,246009918
2022-11-04,0.220500,0.222500,0.214200,0.219700,0.219700,206134920
2022-11-07,0.222500,0.243500,0.222200,0.243100,0.243100,345443959
2022-11-08,0.244600,0.246000,0.226600,0.237800,0.237800,412935850
2022-11-09,0.238700,0.239400,0.231300,0.233300,0.233300,147357660
2022-11-10,0.223000,0.248700,0.222600,0.245400,0.245400,402799013
2022-11-11,0.248000,0.248000,0.233700,0.236900,0.236900,256883531
2022-11-14,0.237000,0.240300,0.232600,0.240000,0.240000,137748409
2022-11-15,0.238700,0.240500,0.233000,0.233000,0.233000,176856471
2022-11-16,0.230000,0.230200,0.223100,0.226600,0.226600,201114883
2022-11-17,0.225000,0.229900,0.223600,0.223900,0.223900,94506622
2022-11-18,0.225500,0.228600,0.221300,0.223600,0.223600,181226780
2022-11-21,0.223000,0.225500,0.214200,0.214500,0.214500,112013167
2022-11-22,0.214000,0.225000,0.212400,0.221900,0.221900,110706215
2022-11-23,0.222600,0.225900,0.219000,0.219100,0.219100,120539686
2022-11-24,0.220400,0.228700,0.220100,0.225200,0.225200,111228779
2022-11-25,0.226400,0.226900,0.223500,0.225500,0.225500,57421301
2022-11-28,0.219400,0.226800,0.215600,0.222800,0.222800,145017267
2022-11-29,0.226500,0.226800,0.216700,0.217600,0.217600,117401425
2022-11-30,0.220000,0.221000,0.200100,0.206200,0.206200,310980885
2022-12-01,0.208900,0.216400,0.208000,0.213800,0.213800,303943805
2022-12-02,0.213000,0.215000,0.208600,0.209400,0.209400,122038604
2022-12-05,0.210000,0.212600,0.206500,0.206500,0.206500,72632088
2022-12-06,0.207000,0.213800,0.205500,0.205500,0.205500,170761511
2022-12-07,0.206000,0.208700,0.201600,0.201600,0.201600,96890774
2022-12-08,0.201600,0.203200,0.198000,0.200800,0.200800,76279173
2022-12-09,0.201400,0.210000,0.197000,0.203500,0.203500,164597020
2022-12-12,0.205700,0.212400,0.203000,0.209600,0.209600,166956593
2022-12-13,0.211100,0.214100,0.205800,0.209000,0.209000,157898583
2022-12-14,0.208700,0.211800,0.207000,0.210200,0.210200,102393275
2022-12-15,0.210000,0.215000,0.205200,0.205200,0.205200,164867705
2022-12-16,0.206100,0.208900,0.201100,0.203100,0.203100,146975686
2022-12-19,0.203500,0.213900,0.203500,0.211800,0.211800,147587996
2022-12-20,0.210000,0.213700,0.208500,0.211000,0.211000,118174081
2022-12-21,0.212800,0.215800,0.211700,0.215700,0.215700,98258922
2022-12-22,0.216000,0.218300,0.211800,0.213400,0.213400,85693005
2022-12-23,0.213600,0.219000,0.212800,0.218500,0.218500,101219520
2022-12-27,0.219900,0.221200,0.215500,0.218100,0.218100,87516141
2022-12-28,0.218500,0.219800,0.216000,0.218500,0.218500,83405054
2022-12-29,0.218500,0.225600,0.216100,0.224800,0.224800,99604412
2022-12-30,0.221700,0.221900,0.215800,0.216300,0.216300,106564893
2023-01-02,0.217600,0.221600,0.217000,0.218800,0.218800,74596897
2023-01-03,0.219300,0.224300,0.218200,0.223000,0.223000,122782589
2023-01-04,0.224300,0.236200,0.223300,0.231400,0.231400,220737955
2023-01-05,0.231300,0.233000,0.228200,0.232300,0.232300,97330977
2023-01-06,0.233400,0.238200,0.231400,0.235600,0.235600,155185183
2023-01-09,0.236500,0.251900,0.235500,0.248700,0.248700,300932916
2023-01-10,0.248500,0.253200,0.243400,0.249300,0.249300,208723517
2023-01-11,0.250400,0.251900,0.244100,0.246600,0.246600,170922641
2023-01-12,0.248500,0.256800,0.248000,0.250400,0.250400,263173938
2023-01-13,0.251800,0.252700,0.248000,0.249600,0.249600,121066698
2023-01-16,0.249300,0.258500,0.248200,0.257900,0.257900,215982841
2023-01-17,0.259000,0.268100,0.257700,0.260000,0.260000,235745488
2023-01-18,0.260600,0.263500,0.255200,0.256300,0.256300,165646908
2023-01-19,0.256000,0.262400,0.252500,0.254700,0.254700,168878798
2023-01-20,0.257700,0.258700,0.253600,0.255100,0.255100,88862418
2023-01-23,0.257000,0.259900,0.254500,0.259900,0.259900,111374958
2023-01-24,0.261100,0.264600,0.257100,0.257400,0.257400,133813250
2023-01-25,0.257100,0.259000,0.253500,0.256500,0.256500,92093675
2023-01-26,0.259700,0.259700,0.252500,0.255900,0.255900,118583214
2023-01-27,0.252500,0.255300,0.251500,0.254100,0.254100,125676668
2023-01-30,0.258200,0.267600,0.256900,0.265900,0.265900,376978649
2023-01-31,0.265100,0.267700,0.259700,0.263900,0.263900,199929278
2023-02-01,0.264400,0.268300,0.262000,0.262000,0.262000,199823072
2023-02-02,0.295000,0.299000,0.282100,0.287000,0.287000,559994257
2023-02-03,0.285000,0.289500,0.281200,0.283500,0.283500,224496643
2023-02-06,0.288900,0.294400,0.285800,0.292500,0.292500,343039285
2023-02-07,0.292700,0.301200,0.291000,0.299100,0.299100,305788498
2023-02-08,0.302400,0.308600,0.299600,0.304800,0.304800,292334210
2023-02-09,0.307000,0.308300,0.291700,0.300000,0.300000,349073285
2023-02-10,0.298000,0.300700,0.291300,0.295000,0.295000,191853862
2023-02-13,0.294100,0.301200,0.292700,0.295000,0.295000,182043776
2023-02-14,0.296000,0.299400,0.290400,0.296400,0.296400,228053389
2023-02-15,0.299900,0.305000,0.292900,0.298400,0.298400,255740969
2023-02-16,0.300000,0.305800,0.297400,0.305800,0.305800,235537012
2023-02-17,0.307000,0.318600,0.301400,0.313500,0.313500,433479715
2023-02-19,0.307,0.3186,0.3014,0.3135,2.52,
2023-02-20,0.308900,0.311300,0.302100,0.305000,0.305000,282390183
2023-02-21,0.302000,0.305200,0.293500,0.301400,0.301400,226994590
2023-02-22,0.299300,0.309800,0.296600,0.309800,0.309800,295135875
2023-02-23,0.311900,0.313600,0.300500,0.302500,0.302500,206428603
2023-02-24,0.304900,0.310300,0.303400,0.306600,0.306600,161326448
2023-02-25,0.3049,0.3103,0.3034,0.3066,1.36,
